"GEOID","Population","Housing_Units"
"060371914101",1646,659
"060371914102",2278,978
"060371914201",2034,846
"060371914202",803,362
"060371915001",1157,441
"060371915002",1702,618
"060371915003",2121,748
"060371916101",2189,832
"060371916102",2082,737
"060371916201",2628,1051
"060371917102",1741,839
"060371917201",2130,796
"060371917202",1404,606
"060371924201",1410,611
"060371924202",2235,995
"060371925101",1575,588
"060371925102",1933,672
"060371925201",2595,931
"060371925202",1731,698
"060371926101",1322,507
"060371926102",919,296
"060371926103",1908,803
"060371926201",1680,679
"060371926202",1580,606
"060371927001",1312,505
"060371927002",2238,818
"060371951001",1353,648
"060371951002",827,313
"060371951003",1221,561
"060371951004",1573,762
"060371952011",1886,1216
"060371952012",1194,581
"060371952021",954,451
"060371952022",937,473
"060371952023",1303,613
"060371953001",711,331
"060371953002",827,413
"060371953003",1532,879
"060371954001",784,412
"060371954002",1215,763
"060371954003",1032,563
"060371954004",1213,671
"060371955001",1736,949
"060371955002",1461,704
"060371955003",1006,456
"060371955004",788,410
"060371956001",791,271
"060371956002",901,376
"060371956003",567,254
"060371956004",797,372
"060371958031",1407,763
"060371958032",1050,549
"060371958041",1026,422
"060371958042",1433,726
"060371959011",2248,1224
"060371959021",878,506
"060371959022",970,565
"060371959031",1211,620
"060371959032",777,380
"060371973001",1464,767
"060371973003",1434,687
"060371974101",1435,679
"060371974102",1298,604
"060371974103",974,481
"060371974201",1705,673
"060371974202",1671,780
"060373025053",1332,444
"060379800101",144,64
"060371881001",1970,949
"060371881002",868,442
"060371881003",1232,434
"060373007021",2839,1057
"060373011001",742,279
"060373011002",814,302
"060373011003",1057,382
"060373011004",696,289
"060373011005",1457,722
"060373011006",1805,891
"060373012031",1888,853
"060373012032",2529,1117
"060373012041",1729,776
"060373012042",1431,686
"060373012043",1774,753
"060373012051",826,294
"060373012052",1385,465
"060373012061",2019,811
"060373012062",998,365
"060373012063",884,323
"060373012064",1374,525
"060373013001",888,310
"060373015011",855,284
"060373015021",1676,708
"060373015024",1120,418
"060373016011",1544,676
"060373016012",1194,488
"060373016013",1806,706
"060373016014",1408,535
"060373016021",2169,894
"060373016022",751,343
"060373016023",984,466
"060373017011",1347,597
"060373017012",1505,574
"060373017021",1612,632
"060373017022",1648,640
"060373017023",1341,531
"060373017024",1038,383
"060373018011",1476,846
"060373018012",3450,1903
"060373018013",1213,583
"060373018021",2884,1429
"060373018022",2540,1182
"060373019011",2574,1144
"060373019012",2283,1013
"060373019021",1944,770
"060373019022",1196,478
"060373020021",1080,558
"060373020022",2158,1019
"060373020023",760,329
"060373020031",2481,1022
"060373020032",1015,444
"060373020041",2230,822
"060373020042",1945,896
"060373021023",1364,526
"060373021024",919,412
"060373021025",976,385
"060373021033",1784,690
"060373022011",946,412
"060373022012",1263,453
"060373022013",1808,1146
"060373022021",1469,599
"060373022022",2088,802
"060373022023",1376,615
"060373023011",1509,528
"060373023012",2295,1038
"060373023021",1479,535
"060373023022",1612,612
"060373023023",1190,449
"060373023024",1136,510
"060373024011",1390,572
"060373024012",1597,678
"060373024013",1664,885
"060373024014",1057,409
"060373024015",776,276
"060373025031",1622,590
"060373025032",1448,564
"060373025033",941,366
"060373025041",2274,862
"060373025042",774,307
"060373025043",879,340
"060373025051",1769,615
"060373025052",665,250
"060373025061",619,211
"060373025062",1417,543
"060373025063",1374,572
"060373118011",1675,724
"060373118012",1391,690
"060373118021",1962,799
"060373118022",1919,754
"060379800091",52,8
"060371831011",869,368
"060371831012",1295,493
"060371831013",1495,552
"060371831031",1954,831
"060371831032",1885,713
"060371831041",2095,818
"060371832201",754,277
"060371832202",1665,515
"060371832203",1263,414
"060371832212",2203,798
"060371833001",958,327
"060371833002",799,276
"060371833003",1326,439
"060371834011",1295,512
"060371834012",931,350
"060371834021",1519,466
"060371835101",1109,376
"060371835102",1259,406
"060371835201",1584,608
"060371835202",1866,608
"060371836101",840,274
"060371836102",1973,806
"060371836201",2268,806
"060371836202",644,244
"060371837011",1387,578
"060371837012",1086,434
"060371837013",1365,506
"060371837021",1333,628
"060371837022",1336,492
"060371838101",2146,799
"060371838102",2114,862
"060371838201",1694,652
"060371838202",1932,662
"060371851011",1340,541
"060371851012",1490,604
"060371851021",1549,637
"060371851022",1441,619
"060371852021",1088,417
"060371852022",1393,617
"060371852023",1201,451
"060371852031",1346,459
"060371852032",1305,456
"060371852041",1247,476
"060371852042",730,277
"060371853101",1530,481
"060371853102",1194,375
"060371853201",1471,456
"060371853202",1292,454
"060371862011",1120,505
"060371862012",1965,796
"060371862021",733,256
"060371862022",1252,588
"060371862031",1638,684
"060371862032",1113,425
"060371863021",1595,619
"060371863022",2014,746
"060371863023",1581,551
"060371864041",1481,490
"060371864042",785,292
"060371972001",1303,456
"060371972002",1289,459
"060371972003",695,248
"060371990021",990,336
"060371990022",1923,840
"060371991101",992,325
"060371991102",1385,433
"060371992021",1296,411
"060371992022",1489,487
"060371993001",1211,477
"060371993002",2334,833
"060371994001",1024,397
"060371994002",1559,479
"060371994003",1887,575
"060372011101",938,289
"060372011102",1394,447
"060372011201",2324,741
"060372011202",1276,405
"060372012001",2362,736
"060372013011",1378,478
"060372013012",2031,612
"060372013021",900,436
"060372013022",1471,817
"060372013023",1511,751
"060372014011",3011,968
"060372014012",1690,496
"060372015011",1119,360
"060372015012",1049,373
"060372015013",1070,326
"060372015014",1736,525
"060372015031",1646,535
"060372015032",1413,422
"060372015041",2254,641
"060372016021",793,256
"060374806021",1289,587
"060374806023",1288,532
"060374807021",2032,704
"060374807022",2691,1095
"060374807031",1774,661
"060374807032",1636,709
"060371810001",1062,447
"060371810002",1183,435
"060371810003",840,332
"060371810004",1290,488
"060371810005",1757,643
"060371813001",1112,423
"060371813002",983,392
"060371813003",1518,577
"060371814001",1268,506
"060371814002",1022,411
"060371814003",1844,728
"060371815001",1086,393
"060371815002",1394,545
"060371815003",1173,452
"060371816001",2721,496
"060371816002",1526,589
"060371832211",698,266
"060371832221",829,319
"060371832222",1356,638
"060371832223",1118,422
"060371834022",1478,605
"060371861001",1069,459
"060371861002",1016,401
"060371861003",1694,674
"060371861004",899,313
"060373009012",1157,469
"060373009014",2075,750
"060373009021",779,295
"060373009022",1233,448
"060373010001",1142,488
"060373010002",1421,611
"060373010003",1112,507
"060373010004",1375,579
"060373021021",1822,844
"060373021022",1140,551
"060373021031",1521,594
"060373021032",2029,806
"060373021041",760,345
"060373021042",1214,520
"060373021043",1885,719
"060374608001",1739,746
"060374608002",1480,618
"060374609005",662,259
"060374616002",1467,549
"060374617001",674,252
"060374617002",818,457
"060374637001",1040,526
"060374638001",783,312
"060374638002",987,440
"060374638003",1043,440
"060374638004",1140,522
"060374639003",1293,669
"060371011101",2050,759
"060371011102",1886,697
"060371011103",990,350
"060371011222",1429,541
"060371012201",1140,463
"060371012202",2204,888
"060371012211",1083,427
"060371012212",2361,936
"060371012221",2808,1042
"060371013001",1309,493
"060371013002",1226,468
"060371013003",898,336
"060371013004",836,315
"060371014001",836,342
"060371014002",1650,657
"060371014003",1412,552
"060371031021",945,321
"060371031022",814,268
"060371031023",1097,402
"060371031024",817,345
"060371031025",1079,398
"060371034021",1302,543
"060371034022",955,322
"060371034023",704,250
"060371034024",1114,470
"060373001003",1380,478
"060373001004",1837,623
"060373002003",848,294
"060373002004",734,265
"060373002005",1704,626
"060373003011",1501,520
"060373003012",1067,385
"060373003013",859,295
"060373003014",811,278
"060373003015",713,244
"060373003016",1338,474
"060373004001",1364,527
"060373004002",1072,395
"060373004003",1085,387
"060373004004",802,295
"060373004005",675,248
"060373004006",950,306
"060373005012",1439,491
"060373006011",3089,1216
"060373006012",2257,824
"060373007014",1509,532
"060373007015",1968,735
"060373007022",2886,1093
"060373013002",1182,421
"060373014001",947,339
"060373014002",1321,442
"060373014003",733,270
"060373014004",935,323
"060373015012",1006,340
"060373015022",2205,887
"060373015023",1717,643
"060373101001",1467,542
"060373101004",1529,581
"060373102011",803,254
"060373102012",1448,494
"060373102013",1151,475
"060373102014",2119,938
"060373102021",1731,653
"060373102022",2418,1007
"060373102023",796,284
"060373103001",871,286
"060373107011",2482,1203
"060373107031",2850,1190
"060373107032",2276,1027
"060373107041",2205,1014
"060373107042",1542,903
"060373107043",1242,582
"060373107051",2387,1427
"060379800201",2,1
"060373001001",1692,599
"060373001002",1151,383
"060373002001",1219,470
"060373002002",987,344
"060373005011",1685,577
"060373005031",2185,992
"060373005032",1413,568
"060373005033",1723,742
"060373006021",1096,468
"060373006022",782,308
"060373006023",1702,688
"060373007011",883,338
"060373007012",797,298
"060373007013",1106,363
"060373008001",2466,1022
"060373008002",1259,569
"060373008003",1490,573
"060373008004",1261,509
"060373008005",624,246
"060373009011",1830,658
"060373009013",1416,499
"060374603021",1171,375
"060374603022",1009,334
"060374604011",1063,387
"060374605011",1824,636
"060374605012",981,316
"060374605013",2750,974
"060374605021",1496,501
"060374605022",1404,446
"060374605023",1595,554
"060374606011",1390,491
"060374606012",1161,394
"060374606013",1748,586
"060374606014",1189,465
"060374607001",774,259
"060374607002",633,215
"060374607003",695,259
"060374607004",1330,454
"060374607005",1603,568
"060374609004",1159,397
"060374610003",1352,478
"060374610004",1538,500
"060375028013",1266,345
"060375502011",1534,457
"060375502012",1319,350
"060375502021",1741,494
"060375502022",1287,347
"060375502023",770,218
"060375502024",1560,386
"060375503011",1301,426
"060375503012",695,301
"060375503013",875,186
"060375503014",1276,300
"060375511011",1571,561
"060375511012",783,205
"060375511013",1612,493
"060375511021",921,356
"060375511022",1967,627
"060375511023",2563,824
"060375512011",1560,473
"060375512012",2113,698
"060375512031",1104,311
"060375512032",2633,776
"060375512041",2159,491
"060375512042",1908,649
"060375513001",1827,645
"060375515012",1241,354
"060375515021",1539,469
"060375515022",1459,444
"060375515023",1257,372
"060375517001",2156,609
"060375517002",1373,404
"060375517003",1380,391
"060375517004",1431,396
"060375518011",1951,566
"060375518012",1274,444
"060375518021",2156,911
"060375518022",1030,272
"060375518023",1187,296
"060375519001",1216,312
"060375519002",1422,450
"060375519003",1103,306
"060375519004",1820,463
"060375520011",1596,440
"060375520012",1446,340
"060375520013",999,241
"060375520021",1905,665
"060375520022",1514,387
"060375521001",1311,334
"060375521003",1095,294
"060375521004",898,236
"060375521005",1200,321
"060375528001",996,260
"060375528002",2837,768
"060375528003",922,255
"060375528004",1512,396
"060375529001",730,201
"060375529002",1146,311
"060375529003",1254,333
"060375529004",2655,841
"060375529005",1233,360
"060375530001",1917,498
"060375530002",1359,343
"060375530003",1590,407
"060375531001",2725,852
"060375531002",978,316
"060375531004",1923,575
"060375532011",1466,406
"060375532012",1023,278
"060375532013",1267,317
"060375532021",1014,249
"060375532022",1298,403
"060375532023",1308,375
"060375533001",960,254
"060375533002",1173,393
"060375533003",1397,438
"060375534001",1507,445
"060375534002",1123,292
"060375534003",1296,316
"060375535021",1775,691
"060375535022",2372,649
"060375535031",2730,779
"060375535041",2042,514
"060375535042",1836,501
"060375535043",1442,367
"060375539011",1930,439
"060375539012",1742,467
"060375539013",1794,552
"060375539014",1243,324
"060375540011",1242,368
"060375540012",1109,311
"060375540013",1216,325
"060375540014",859,244
"060375540021",2500,803
"060375540022",2543,840
"060375540023",1092,275
"060375541011",1084,276
"060375541012",2694,855
"060375541052",1920,730
"060375541061",853,271
"060375541062",1803,534
"060375541063",1712,483
"060375542011",860,258
"060375542041",2479,774
"060375543013",1004,278
"060375778002",1776,468
"060375778003",1874,506
"060375023031",1512,367
"060375024011",1678,488
"060375024012",1184,320
"060375024013",1910,527
"060375024021",1843,480
"060375024022",1946,525
"060375025001",1928,505
"060375025002",2196,615
"060375026021",1589,596
"060375026022",1536,495
"060375026023",1252,324
"060375026031",2385,638
"060375026032",1022,243
"060375026041",1360,377
"060375026042",1042,280
"060375026043",1260,319
"060375027001",1498,480
"060375027002",1647,475
"060375028011",920,280
"060375028012",1750,508
"060375028014",1316,368
"060375028015",1095,310
"060375323041",2841,887
"060375339011",1162,284
"060375339012",1773,467
"060375339013",1819,459
"060375339014",1110,282
"060375339021",2224,627
"060375339022",1616,401
"060375340011",1594,407
"060375340012",2260,599
"060375340013",1278,321
"060375340021",2782,663
"060375340022",1348,363
"060375342021",2177,558
"060375342031",1305,328
"060375342032",1783,500
"060375505011",2383,774
"060375505012",1221,359
"060375505021",1239,378
"060375505022",904,284
"060375505023",1215,384
"060375505024",890,279
"060375506011",2426,837
"060375506012",1022,283
"060375506013",1042,270
"060375506014",1371,474
"060375506021",1141,304
"060375506022",1170,359
"060375506023",1171,326
"060375506024",962,323
"060375507001",1036,307
"060375507002",1605,467
"060375507003",1145,350
"060375507004",841,256
"060375507005",1678,514
"060375507006",910,255
"060375508011",1578,466
"060375508012",1031,356
"060375508013",1022,347
"060375508014",1053,337
"060375508021",1680,522
"060375508022",952,258
"060375509011",2217,779
"060375509012",767,243
"060375509013",1513,546
"060375509021",2038,794
"060375509022",1523,594
"060375509023",934,312
"060375509024",1180,346
"060375510011",1714,557
"060375510012",881,263
"060375510013",1325,411
"060375510021",1335,496
"060375510022",1352,403
"060375510023",1078,334
"060375513002",1577,588
"060375513003",2046,761
"060375514011",2078,666
"060375514012",2347,800
"060375514021",1185,338
"060375514022",2102,669
"060375514023",1280,378
"060375515011",2419,759
"060375778001",1435,408
"060375002023",839,300
"060375002024",1045,331
"060375010023",1916,574
"060375014002",1203,430
"060375015041",1157,717
"060375015042",1223,503
"060375015043",1200,436
"060375016001",2933,1015
"060375016002",1403,537
"060375016003",1006,311
"060375016004",862,259
"060375017001",887,312
"060375017002",1232,441
"060375017003",1065,387
"060375017004",930,289
"060375018021",1094,385
"060375018022",991,377
"060375018023",1353,532
"060375018031",2321,736
"060375018032",2366,891
"060375018041",1590,559
"060375018042",657,249
"060375019001",1365,436
"060375019002",828,274
"060375019003",1188,392
"060375019004",955,280
"060375020031",1421,415
"060375020032",1324,399
"060375020041",1440,363
"060375020042",2648,679
"060375020051",1204,341
"060375020052",1930,577
"060375020053",1248,375
"060375021001",1184,331
"060375021002",2393,761
"060375021003",1502,502
"060375022001",1169,330
"060375022002",1779,509
"060375022003",1373,350
"060375022004",2156,689
"060375023032",2045,517
"060375023033",938,234
"060375023034",1116,298
"060375023035",2785,793
"060375027003",1354,370
"060375027004",3183,741
"060375029011",1352,364
"060375029012",2766,688
"060375029013",1331,365
"060375030001",923,222
"060375030002",1723,374
"060375030003",1548,351
"060375030004",1481,326
"060375031031",1621,419
"060375031032",1171,286
"060375031033",851,179
"060375031034",1131,274
"060375031041",2561,635
"060375031051",1508,425
"060375031052",2110,684
"060375031061",1425,414
"060375031062",804,264
"060375031063",1593,463
"060375032011",1519,422
"060375032012",1520,461
"060375032013",963,289
"060375032021",2031,644
"060375032022",1054,273
"060375032023",1265,401
"060375033011",1087,347
"060375033012",1143,371
"060375033013",1258,384
"060375033021",1801,526
"060375033022",3032,994
"060375033023",1462,415
"060375034023",1040,334
"060375035011",1793,625
"060375035012",3368,1003
"060375035013",1324,399
"060375035022",1405,460
"060375036011",2438,720
"060375036012",898,283
"060375036013",853,282
"060375038023",2857,1087
"060375039011",1113,332
"060375039012",1686,545
"060375039021",1554,503
"060375039022",1536,439
"060375039023",1567,507
"060375040011",1315,423
"060375040012",1337,539
"060375040013",2401,286
"060375040021",1230,401
"060375040022",1052,280
"060375040023",882,236
"060375040024",820,243
"060375040025",1343,424
"060375041011",2667,900
"060375041012",1467,364
"060375041013",961,238
"060375042001",3618,1750
"060375042002",1713,428
"060375042003",2197,510
"060375501011",1822,482
"060375501012",1075,265
"060375501013",1077,281
"060375521002",1491,752
"060375522001",1758,584
"060375522002",1199,344
"060375522003",1509,417
"060375522004",2008,529
"060375523011",1145,346
"060375523012",2513,727
"060375523013",813,234
"060375523021",1250,377
"060375523022",977,277
"060375523023",1372,619
"060375524001",1027,238
"060375524002",1491,365
"060375526011",1269,277
"060375526012",1340,281
"060375526013",1208,292
"060375526014",1410,334
"060375526021",1622,464
"060375526022",929,230
"060375526023",1581,448
"060375527001",2083,540
"060375527002",970,239
"060375527003",1423,371
"060375527004",984,258
"060375527005",1425,382
"060375553001",626,167
"060375553002",1259,337
"060375553003",875,214
"060375553004",1220,333
"060379800341",110,5
"060375005001",2954,926
"060375006001",968,244
"060375006002",1055,251
"060375006003",818,237
"060375006004",1146,280
"060375006005",1451,402
"060375007001",1237,349
"060375007002",1187,356
"060375007003",1133,300
"060375007004",1259,310
"060375007005",1067,283
"060375007006",699,186
"060375008001",1052,284
"060375008002",2271,664
"060375009003",1817,602
"060375300051",2203,770
"060375300052",1988,725
"060375300061",3137,1148
"060375300062",1158,391
"060375300071",1798,699
"060375300072",1929,579
"060375300073",1510,514
"060375300074",1414,463
"060375301011",2084,578
"060375301012",1591,616
"060375301013",974,326
"060375301014",684,256
"060375301021",1089,325
"060375301022",1263,471
"060375301023",1261,388
"060375301024",1381,533
"060375302021",1491,467
"060375302022",1555,516
"060375302023",1010,287
"060375302031",2324,788
"060375302032",1033,324
"060375302041",1341,458
"060375302042",2187,728
"060375303011",2308,624
"060375303021",1209,387
"060375303022",2459,660
"060375303023",1343,371
"060375317011",3005,782
"060375317012",2493,624
"060375317021",1537,428
"060375317022",1035,303
"060375318001",1740,479
"060375318002",1923,544
"060375318003",1077,312
"060375319011",1677,497
"060375319012",1528,455
"060375319013",1872,536
"060375319014",1151,285
"060375319021",885,275
"060375319022",2045,606
"060375319023",1023,280
"060375320011",1781,654
"060375320012",1515,434
"060375320021",887,295
"060375320022",2367,710
"060375321011",2158,601
"060375321012",2199,623
"060375321013",2329,666
"060375321021",1866,542
"060375321022",1969,553
"060375322001",1959,595
"060375322002",1813,496
"060375322003",2827,748
"060375323032",2359,744
"060375323033",941,251
"060375323042",819,255
"060374809031",3023,1046
"060374813002",1557,434
"060374815003",1469,437
"060374816051",954,352
"060374816052",1313,423
"060374816053",911,320
"060374816062",1901,643
"060374816063",1047,367
"060374817111",2146,769
"060374817112",2460,735
"060374817121",2888,939
"060374817122",2188,784
"060374817131",1877,785
"060374817132",854,268
"060374817141",1542,629
"060374817142",943,342
"060374818001",1034,375
"060374818002",1553,542
"060374819011",1015,344
"060374819012",726,254
"060374819013",1702,596
"060374819014",2278,817
"060374819021",2472,935
"060374819022",825,294
"060374820011",1976,784
"060374820021",1676,621
"060374820022",2108,785
"060374820023",2215,881
"060374820024",1195,441
"060374821011",1231,385
"060374821012",1421,517
"060374821013",2119,722
"060374821021",1706,635
"060374821022",1140,370
"060374822011",1394,441
"060374822012",1113,497
"060374822013",1301,433
"060374822021",1210,421
"060374822022",1832,609
"060374822023",2142,648
"060374823011",1451,397
"060374823012",1083,308
"060374823013",1306,379
"060374823014",1149,336
"060374823031",1267,385
"060374823032",2053,585
"060374823033",2162,601
"060374823041",1791,484
"060374823042",1618,452
"060374824011",1626,434
"060374824012",1909,553
"060374824031",3310,932
"060374824041",964,383
"060374824042",1937,685
"060374825021",1535,420
"060374825022",1678,476
"060374825031",1646,438
"060374825032",2311,651
"060374825211",1334,419
"060374825212",2484,691
"060374825213",1759,516
"060374825221",1586,524
"060374825222",2130,832
"060374825223",739,272
"060374826001",1648,562
"060374826002",2528,929
"060374826003",1588,559
"060374826004",1418,510
"060374827011",718,241
"060374827012",1350,474
"060374827013",1360,459
"060374827014",668,255
"060374827021",1297,455
"060374827022",1107,380
"060374828011",1168,360
"060374828012",947,326
"060374828013",2078,696
"060375303024",1364,439
"060375304001",14,1
"060375304002",1787,620
"060375304003",2265,746
"060374083011",807,182
"060374083021",4071,1105
"060374083031",2987,880
"060374084023",3180,1010
"060374326011",1030,266
"060374327001",2495,658
"060374327002",1734,507
"060374328011",1813,727
"060374328021",1906,574
"060374328022",1783,492
"060374329012",1393,424
"060374329021",1576,450
"060374331031",2376,620
"060374331032",2084,565
"060374331033",1051,342
"060374331034",1181,317
"060374332001",1286,390
"060374332002",967,292
"060374332003",1195,317
"060374332004",2640,681
"060374333021",1701,450
"060374333041",1909,547
"060374333042",2686,804
"060374333051",2732,676
"060374333052",1890,515
"060374333061",1823,444
"060374333062",1288,322
"060374333071",1548,457
"060374333072",1672,409
"060374334021",1862,537
"060374334022",2322,579
"060374334031",1453,414
"060374334032",2458,615
"060374334033",872,287
"060374335051",1993,520
"060374335052",1496,368
"060374335053",997,230
"060374335061",2094,622
"060374335062",1877,466
"060374336011",1844,526
"060374336012",2742,794
"060374336021",2858,867
"060374338031",1445,433
"060374338032",1592,449
"060374338041",2603,593
"060374338042",623,156
"060374338043",1271,340
"060374339011",2700,704
"060374339012",1149,302
"060374339013",1248,307
"060374339031",1458,366
"060374339032",586,146
"060374339033",1845,467
"060374339034",1730,457
"060374340011",1832,421
"060374340012",2883,680
"060374340031",1399,347
"060374340032",1494,352
"060374340033",1200,292
"060374340041",2746,658
"060374341001",1058,256
"060374341002",2271,545
"060374341003",1037,293
"060374341004",1125,272
"060374341005",1018,266
"060374813001",1381,411
"060375003001",3024,1168
"060375004021",1355,329
"060375004022",1247,356
"060375004023",1964,565
"060375004031",2710,742
"060375004032",1315,328
"060375004041",1020,309
"060375004042",1007,261
"060375004043",1442,380
"060375004044",1298,401
"060375008003",2010,525
"060375009001",1325,358
"060375009002",1190,307
"060375009004",1270,416
"060375010011",1327,325
"060375010012",1696,438
"060375010021",1222,330
"060375010022",1744,547
"060375012001",2754,877
"060375012002",2360,674
"060375013011",1396,520
"060375013012",1624,530
"060375013021",1330,461
"060375013022",2282,819
"060375013023",864,282
"060375014001",1372,470
"060375014003",1251,443
"060375015011",2411,935
"060375015031",1139,470
"060375015032",772,274
"060375015033",1653,715
"060375015034",1651,652
"060375016005",659,268
"060379800361",616,177
"060375034012",1668,544
"060375034013",1256,460
"060375035021",1468,433
"060375035023",1424,399
"060375036021",1533,483
"060375036022",2305,783
"060375037011",2216,730
"060375037012",2725,931
"060375037021",2761,833
"060375037022",2692,973
"060375037041",2171,796
"060375037042",2427,1191
"060375037051",1711,651
"060375037052",1511,564
"060375038011",1246,391
"060375038012",1098,334
"060375038013",1741,547
"060375038021",1141,344
"060375038022",1141,338
"060590011023",1225,423
"060590011032",1781,579
"060590012011",1521,454
"060590012013",1817,552
"060590012023",1242,340
"060590013011",1449,510
"060590013012",2155,808
"060590013013",1116,357
"060590013014",1135,389
"060590013015",1900,956
"060590013031",1926,731
"060590013032",1854,723
"060590013033",1846,481
"060590013041",925,234
"060590013042",2777,956
"060590014042",1030,256
"060590014043",1172,358
"060590017041",971,392
"060590017042",2179,709
"060590017051",2244,810
"060590017052",1039,336
"060590017053",1032,369
"060590017061",1062,352
"060590017062",904,336
"060590017063",1220,482
"060590017064",985,332
"060590017081",1031,373
"060590017082",1279,451
"060590017083",1426,503
"060590017091",2563,937
"060590017101",1625,628
"060590017102",1503,500
"060590017103",1600,509
"060591106043",3443,1135
"060591106044",1444,492
"060591106051",1082,364
"060591106055",1185,407
"060374086291",1478,475
"060374086292",1527,541
"060375001001",1462,519
"060375001002",1470,493
"060375001003",797,293
"060375002021",740,260
"060375002022",712,245
"060375002025",1646,542
"060375002031",892,306
"060375002032",972,305
"060375002033",2324,717
"060375002041",2343,836
"060375034011",1448,462
"060375034014",1143,419
"060375034015",1521,593
"060375034021",1986,641
"060375034022",1605,509
"060590011011",1531,500
"060590011012",933,276
"060590011013",1112,378
"060590011014",1035,335
"060590011021",1117,358
"060590011022",972,357
"060590011031",1180,446
"060590011033",1793,510
"060590012012",1862,485
"060590012021",1457,389
"060590012022",1067,374
"060590014011",1645,541
"060590014012",936,313
"060590014013",1303,429
"060590014014",1609,399
"060590014021",1585,517
"060590014022",1760,549
"060374086271",1744,595
"060374086272",1074,352
"060374087031",2109,680
"060374087032",2433,817
"060374087033",1527,497
"060374087051",1330,392
"060374087052",2367,702
"060374087053",1658,508
"060374087072",1498,491
"060374087221",2294,646
"060374087222",2091,672
"060374087243",1175,313
"060374087251",1371,394
"060374087252",2869,1013
"060374087253",1700,504
"060590014023",1916,538
"060590014031",1390,459
"060590014032",1900,635
"060590014041",1568,439
"060590015011",2035,966
"060590015012",2730,879
"060590015013",1894,665
"060590015031",999,330
"060590015032",1337,475
"060590015033",1051,374
"060590015034",1151,378
"060590015035",764,300
"060590015041",1013,554
"060590015042",1477,541
"060590015043",1086,473
"060590015044",1227,518
"060590015051",1008,371
"060590015052",2622,947
"060590015053",2202,769
"060590015054",1283,454
"060590015061",2255,956
"060590015062",2289,772
"060590015071",2395,1248
"060590015072",1014,335
"060590015073",1990,705
"060590016021",947,299
"060590016022",1087,387
"060590016023",978,356
"060590016024",1350,584
"060590016025",672,270
"060590016031",2570,1100
"060590016032",1390,467
"060590016041",1343,384
"060590016042",1160,402
"060590016043",861,301
"060590016044",920,310
"060590117071",1307,426
"060590117072",1665,878
"060590117073",1578,708
"060590117074",1690,498
"060590117081",1934,782
"060590117082",1846,967
"060590117083",1195,379
"060590117091",1128,409
"060590117092",1376,467
"060590117093",1897,610
"060590117101",1548,481
"060590117102",2101,767
"060590117113",873,543
"060590117114",1411,598
"060590117172",785,267
"060590117181",1587,506
"060590218141",2313,857
"060590218142",2228,985
"060590218143",998,325
"060590218144",2123,723
"060590218322",3580,1272
"060374047011",2436,579
"060374047012",1332,298
"060374047013",1852,434
"060374047021",2494,591
"060374047022",1904,514
"060374047023",1264,360
"060374047031",1409,397
"060374047032",1503,355
"060374048042",1595,402
"060374048061",1976,480
"060374048062",2205,601
"060374048063",1756,418
"060374052031",1578,392
"060374053021",1860,498
"060374055004",1015,404
"060374066021",1706,478
"060374066022",1740,474
"060374066023",1532,398
"060374067011",1531,486
"060374067012",1581,457
"060374067021",1823,635
"060374067022",1273,339
"060374067023",1633,516
"060374067024",2311,1050
"060374068011",1256,323
"060374068012",1939,559
"060374068013",1798,515
"060374069031",595,250
"060374069032",1136,251
"060374069033",1984,506
"060374069034",1527,413
"060374069035",1125,437
"060374069036",1410,332
"060374070011",1123,251
"060374070012",2163,520
"060374070013",2337,480
"060374070021",1762,390
"060374070022",1804,397
"060374071011",1011,246
"060374071012",1863,439
"060374071013",1771,489
"060374071021",1449,325
"060374071022",2428,594
"060374071023",1459,367
"060374072011",1683,416
"060374072012",1568,425
"060374072021",1715,392
"060374072022",1897,429
"060374073011",1141,278
"060374073012",1195,289
"060374073013",1177,278
"060374073014",1080,242
"060374073021",1130,271
"060374073022",1196,262
"060374073023",949,221
"060374074001",2126,573
"060374075011",1407,312
"060374075012",1022,302
"060374075013",1217,276
"060374075014",799,198
"060374075021",1248,285
"060374075022",1618,397
"060374075023",1186,257
"060374076011",1832,409
"060374076012",1409,516
"060374076013",1047,276
"060374076021",960,245
"060374076022",921,245
"060374076023",1019,250
"060374076024",832,213
"060374077012",1704,401
"060374077013",1188,270
"060374077021",1489,412
"060374077022",1801,567
"060374077023",1068,265
"060374077024",1891,493
"060374078021",40,23
"060374078022",1468,359
"060374078023",1828,424
"060374079011",1563,338
"060374079012",1389,344
"060374079013",1387,343
"060374083012",2665,653
"060374083013",1577,398
"060374083014",1052,266
"060374083032",1396,395
"060374084011",2229,704
"060374084012",2148,572
"060374084021",1462,391
"060374084022",1428,458
"060374085031",1531,472
"060374085032",1114,344
"060374085033",2021,682
"060374085034",1663,533
"060374085041",1640,431
"060374085042",2231,893
"060374085043",1465,394
"060374085051",1365,403
"060374085052",1346,409
"060374086231",3065,1024
"060374086241",2146,699
"060374086242",1021,332
"060374086251",1258,390
"060374086252",1270,400
"060374086253",1808,637
"060374086281",1807,606
"060374086282",1590,552
"060374086283",1749,784
"060374086311",1709,480
"060374086312",1330,377
"060374086313",1984,558
"060374091001",837,231
"060374091002",1346,346
"060374091003",1541,354
"060374091004",1515,478
"060379800351",623,167
"060374033261",1886,568
"060374033262",720,237
"060374034011",1258,368
"060374034012",1406,444
