"GEOID","Population","Housing_Units"
"060014272002",1716,669
"060014272003",928,393
"060014272004",649,280
"060014272005",115,3
"060014273001",1149,487
"060014273002",1687,723
"060014273003",929,368
"060014273004",743,286
"060014273005",1211,493
"060014276001",2136,832
"060014276002",1767,723
"060014276003",827,311
"060014277001",994,452
"060014277002",1713,945
"060014277003",1426,816
"060014277004",883,360
"060014278001",731,317
"060014278002",1018,410
"060014278003",822,365
"060014278004",976,499
"060014278005",1280,577
"060014279001",949,461
"060014279002",1140,491
"060014279003",732,347
"060014279004",908,445
"060014279005",1015,484
"060014280001",748,317
"060014280002",1228,626
"060014280003",1021,504
"060014281001",1425,564
"060014281002",1292,458
"060014281003",1158,582
"060014281004",1005,514
"060014282001",1180,432
"060014282002",1891,827
"060014282003",1237,564
"060014282004",1214,531
"060014282005",1122,434
"060014283011",2458,918
"060014283012",945,350
"060014283013",1097,385
"060014283014",2544,893
"060014283021",2310,779
"060014283022",2724,1059
"060014283023",2086,852
"060014284001",2068,837
"060014284002",1118,556
"060014284003",1459,644
"060014285001",1378,658
"060014285002",949,375
"060014285003",1012,531
"060014286001",1439,596
"060014286002",1959,1044
"060014287001",1932,550
"060014287002",743,282
"060014287003",2076,874
"060014301011",1488,495
"060014301012",2104,745
"060014301013",1962,678
"060014301014",1193,391
"060014301021",2553,949
"060014302001",2195,787
"060014302002",1413,451
"060014302003",1011,319
"060014302004",1453,501
"060014302005",1405,488
"060014303001",1675,598
"060014303002",1186,387
"060014303003",1079,399
"060014304001",1106,369
"060014304002",1101,398
"060014305001",2579,906
"060014305002",1885,717
"060014305003",1825,633
"060014306001",1328,467
"060014306002",1262,424
"060014306003",2937,1007
"060014306004",858,301
"060014307001",850,311
"060014307002",2082,697
"060014307003",1277,432
"060014308001",844,313
"060014308002",934,331
"060014308003",2268,834
"060014308004",2119,790
"060014309001",2150,816
"060014309002",1692,659
"060014309003",1295,450
"060014310001",1410,592
"060014310002",1681,672
"060014311001",1568,576
"060014311002",1969,827
"060014312001",1654,760
"060014312002",2129,915
"060014312003",2308,1021
"060014321001",1871,674
"060014321002",1148,403
"060014321003",1102,421
"060014322001",1016,408
"060014322002",917,333
"060014322003",2298,1070
"060014323001",1454,478
"060014323002",854,374
"060014323003",2577,868
"060014324001",1677,464
"060014324002",2649,841
"060014324003",1953,648
"060014325011",1366,408
"060014325012",1005,309
"060014325013",2790,808
"060014325021",2411,776
"060014325022",1035,300
"060014325023",1195,410
"060014326011",1643,781
"060014326012",2715,1109
"060014326021",732,290
"060014326022",1293,599
"060014326023",1189,516
